"ENSEMBL"	"SYMBOL"
"1"	"ENSG00000004059"	"ARF5"
"2"	"ENSG00000003056"	"M6PR"
"3"	"ENSG00000173153"	"ESRRA"
"4"	"ENSG00000004478"	"FKBP4"
"5"	"ENSG00000003137"	"CYP26B1"
"6"	"ENSG00000003509"	"NDUFAF7"
"7"	"ENSG00000001036"	"FUCA2"
"8"	"ENSG00000003249"	"DBNDD1"
"9"	"ENSG00000002587"	"HS3ST1"
"10"	"ENSG00000001617"	"SEMA3F"
"11"	"ENSG00000001626"	"CFTR"
"12"	"ENSG00000001630"	"CYP51A1"
"13"	"ENSG00000048028"	"USP28"
"14"	"ENSG00000001460"	"STPG1"
"15"	"ENSG00000001461"	"NIPAL3"
"16"	"ENSG00000002933"	"TMEM176A"
"17"	"ENSG00000003989"	"SLC7A2"
"18"	"ENSG00000004776"	"HSPB6"
"19"	"ENSG00000005801"	"ZNF195"
"20"	"ENSG00000004799"	"PDK4"
"21"	"ENSG00000006606"	"CCL26"
"22"	"ENSG00000006611"	"USH1C"
"23"	"ENSG00000006451"	"RALA"
"24"	"ENSG00000075790"	"BCAP29"
"25"	"ENSG00000006453"	"BAIAP2L1"
"26"	"ENSG00000006116"	"CACNG3"
"27"	"ENSG00000006118"	"TMEM132A"
"28"	"ENSG00000004975"	"DVL2"
"29"	"ENSG00000006625"	"GGCT"
"30"	"ENSG00000005175"	"RPAP3"
"31"	"ENSG00000006652"	"IFRD1"
"32"	"ENSG00000007001"	"UPP2"
"33"	"ENSG00000007038"	"PRSS21"
"34"	"ENSG00000005073"	"HOXA11"
"35"	"ENSG00000006210"	"CX3CL1"
"36"	"ENSG00000186654"	"PRR5"
"37"	"ENSG00000007255"	"TRAPPC6A"
"38"	"ENSG00000006282"	"SPATA20"
"39"	"ENSG00000007306"	"CEACAM7"
"40"	"ENSG00000007312"	"CD79B"
"41"	"ENSG00000005486"	"RHBDD2"
"42"	"ENSG00000007376"	"RPUSD1"
"43"	"ENSG00000007520"	"TSR3"
"44"	"ENSG00000006025"	"OSBPL7"
"45"	"ENSG00000004777"	"ARHGAP33"
"46"	"ENSG00000004779"	"NDUFAB1"
