"Gene_A"	"Gene_B"
"FLJ13057"	"GAGE12B|GAGE12C|GAGE12D|GAGE12E"
"GMCL2"	"GAGE12B|GAGE12C|GAGE12D|GAGE12E"
"GMCL1"	"GAGE12B|GAGE12C|GAGE12D|GAGE12E"
"HSP90AB1"	"BCR/ABL|FUSION"
"GRB2"	"BCR/ABL|FUSION"
"DEFB4A|DEFB4B"	"DEFB4A|DEFB4B"
"EPS8"	"TEX28|TEX28P1|TEX28P2"
"XBP1"	"SSX4|SSX4B"
"PAX9"	"SSX4|SSX4B"
"HIF1A"	"SSX4|SSX4B"
"LZTR1"	"SSX4|SSX4B"
"PIK3R3"	"SERF1A|SERF1B"
"IRF3"	"IFNA1|IFNA13"
"IRF7"	"IFNA1|IFNA13"
"FAM20C"	"PRH1|PRH2"
"AMY1A|AMY1B|AMY1C"	"AMY1A|AMY1B|AMY1C"
"H2BC11"	"H2AC4|H2AC8"
"H4C1|H4C2|H4C3|H4C4|H4C5|H4C6|H4C8|H4C9|H4C11|H4C12|H4C13|H4C14|H4C15|H4-16"	"H2AC4|H2AC8"
"H3C1|H3C2|H3C3|H3C4|H3C6|H3C7|H3C8|H3C10|H3C11|H3C12"	"H2AC4|H2AC8"
"ERCC6"	"H2AC4|H2AC8"
"EP300"	"H2AC4|H2AC8"
"HIST3H3"	"H2AC4|H2AC8"
"SIRT5"	"H2AC4|H2AC8"
"TERF2IP"	"H2AC11|H2AC13|H2AC15|H2AC16|H2AC17"
"HTT"	"F8A1|F8A2|F8A3"
"SH3GLB1"	"F8A1|F8A2|F8A3"
"RPL4"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPS19"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPL3"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPL5"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPL21"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPS5"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPS10"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPL29"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"DHPS"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPL14"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"VCP"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"EIF6"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPS20"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPS3A"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPL15"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPL27"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPL37A"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPS8"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPS15A"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPS16"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPS14"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPS23"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPS13"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPS11"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPL7A"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPS4X"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPL23A"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPS6"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPL23"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPS26"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPL31"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPL10A"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPL32"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPL11"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPL8"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
"RPL24"	"RPL9|RPL9P7|RPL9P8|RPL9P9"
