"Gene_A"	"Gene_B"
"A0A024QYV7"	"EWSR1"
"A0A024QYV7"	"DDX39B"
"A0A024QYV7"	"CDC37"
"A0A024QYV7"	"ELF5"
"HNRPUL1"	"ROPN1"
"PCTK1"	"ZBTB14"
"PCTK1"	"BAG6"
"PCTK1"	"ATRIP"
"PCTK1"	"APPBP2"
"UBE1"	"UBE2J2"
"FAM107A"	"WDR47"
"FAM107A"	"CANX"
"TSNAX"	"GADD45G"
"TSNAX"	"PBXIP1"
"TSNAX"	"MRFAP1L1"
"A0A024R5Q1"	"DAB1"
"A0A024R5Q1"	"PSMA3"
"A0A024R5Q1"	"SP4"
"A0A024R5Q1"	"BOLL"
"A0A024R5Q1"	"RBPMS"
"A0A024R5Q1"	"THAP1"
"ADSS"	"SMYD1"
"C15ORF48"	"ABL2"
"C15ORF48"	"TSSK3"
"TCL6"	"MEOX2"
"WARS"	"MDH2"
"WARS"	"TERF1"
"WARS"	"TRIM25"
"WARS"	"EHD1"
"WARS"	"DCAF13"
"WARS"	"DNMT3B"
"SFRS2"	"TRIM27"
"SFRS2"	"TCF4"
"SFRS2"	"GOLGA2"
"SFRS2"	"KRT31"
"SFRS2"	"KRT40"
"SFRS2"	"LZTS2"
"SFRS2"	"CEP72"
"PCTK3"	"CCNK"
"PCTK3"	"CCDC85B"
"DFNA5"	"PTN"
"A0A024RA76"	"SDCBP"
"A0A024RA76"	"RBM39"
"A0A024RA76"	"SREK1IP1"
"A0A024RA76"	"THAP1"
"A0A024RA76"	"PRR13"
"SEPT7"	"SEPT9"
"SEPT7"	"REL"
"SEPT7"	"SEPTIN2"
"SEPT7"	"SEPTIN11"
"SEPT7"	"SEPTIN10"
"SEPT7"	"SEPT5"
"COL4A3BP"	"RTN3"
"COL4A3BP"	"TGM2"
"COL4A3BP"	"CBS"
"COL4A3BP"	"CSNK1G2"
"COL4A3BP"	"ITGB3BP"
"COL4A3BP"	"ARL6IP1"
"COL4A3BP"	"POM121"
