"Gene_A"	"Gene_B"
"DEFB4A"	"DEFB4B"
"DEFB4B"	"DEFB4A"
"AMY1A"	"AMY1B"
"AMY1A"	"AMY1C"
"AMY1B"	"AMY1A"
"AMY1B"	"AMY1C"
"AMY1C"	"AMY1A"
"AMY1C"	"AMY1B"
"H2AC4"	"H4C1"
"H2AC4"	"H4C2"
"H2AC4"	"H4C3"
"H2AC4"	"H4C4"
"H2AC4"	"H4C5"
"H2AC4"	"H4C6"
"H2AC4"	"H4C8"
"H2AC4"	"H4C9"
"H2AC4"	"H4C11"
"H2AC4"	"H4C12"
"H2AC4"	"H4C13"
"H2AC4"	"H4C14"
"H2AC4"	"H4C15"
"H2AC4"	"H4-16"
"H2AC8"	"H4C1"
"H2AC8"	"H4C2"
"H2AC8"	"H4C3"
"H2AC8"	"H4C4"
"H2AC8"	"H4C5"
"H2AC8"	"H4C6"
"H2AC8"	"H4C8"
"H2AC8"	"H4C9"
"H2AC8"	"H4C11"
"H2AC8"	"H4C12"
"H2AC8"	"H4C13"
"H2AC8"	"H4C14"
"H2AC8"	"H4C15"
"H2AC8"	"H4-16"
"H2AC4"	"H3C1"
"H2AC4"	"H3C2"
"H2AC4"	"H3C3"
"H2AC4"	"H3C4"
"H2AC4"	"H3C6"
"H2AC4"	"H3C7"
"H2AC4"	"H3C8"
"H2AC4"	"H3C10"
"H2AC4"	"H3C11"
"H2AC4"	"H3C12"
"H2AC8"	"H3C1"
"H2AC8"	"H3C2"
"H2AC8"	"H3C3"
"H2AC8"	"H3C4"
"H2AC8"	"H3C6"
"H2AC8"	"H3C7"
"H2AC8"	"H3C8"
"H2AC8"	"H3C10"
"H2AC8"	"H3C11"
"H2AC8"	"H3C12"
"LGALS7"	"LGALS7B"
"LGALS7B"	"LGALS7"
"DEFA1"	"DEFA1B"
"DEFA1B"	"DEFA1"
"H4C1"	"H4C2"
"H4C1"	"H4C3"
"H4C1"	"H4C4"
"H4C1"	"H4C5"
"H4C1"	"H4C6"
"H4C1"	"H4C8"
"H4C1"	"H4C9"
"H4C1"	"H4C11"
"H4C1"	"H4C12"
"H4C1"	"H4C13"
"H4C1"	"H4C14"
"H4C1"	"H4C15"
"H4C1"	"H4-16"
"H4C2"	"H4C1"
"H4C2"	"H4C3"
"H4C2"	"H4C4"
"H4C2"	"H4C5"
"H4C2"	"H4C6"
"H4C2"	"H4C8"
"H4C2"	"H4C9"
"H4C2"	"H4C11"
"H4C2"	"H4C12"
"H4C2"	"H4C13"
"H4C2"	"H4C14"
"H4C2"	"H4C15"
"H4C2"	"H4-16"
"H4C3"	"H4C1"
"H4C3"	"H4C2"
"H4C3"	"H4C4"
"H4C3"	"H4C5"
"H4C3"	"H4C6"
"H4C3"	"H4C8"
"H4C3"	"H4C9"
"H4C3"	"H4C11"
"H4C3"	"H4C12"
"H4C3"	"H4C13"
"H4C3"	"H4C14"
"H4C3"	"H4C15"
"H4C3"	"H4-16"
"H4C4"	"H4C1"
"H4C4"	"H4C2"
"H4C4"	"H4C3"
"H4C4"	"H4C5"
"H4C4"	"H4C6"
"H4C4"	"H4C8"
"H4C4"	"H4C9"
"H4C4"	"H4C11"
"H4C4"	"H4C12"
"H4C4"	"H4C13"
"H4C4"	"H4C14"
"H4C4"	"H4C15"
"H4C4"	"H4-16"
"H4C5"	"H4C1"
"H4C5"	"H4C2"
"H4C5"	"H4C3"
"H4C5"	"H4C4"
"H4C5"	"H4C6"
"H4C5"	"H4C8"
"H4C5"	"H4C9"
"H4C5"	"H4C11"
"H4C5"	"H4C12"
"H4C5"	"H4C13"
"H4C5"	"H4C14"
"H4C5"	"H4C15"
"H4C5"	"H4-16"
"H4C6"	"H4C1"
"H4C6"	"H4C2"
"H4C6"	"H4C3"
"H4C6"	"H4C4"
"H4C6"	"H4C5"
"H4C6"	"H4C8"
"H4C6"	"H4C9"
"H4C6"	"H4C11"
"H4C6"	"H4C12"
"H4C6"	"H4C13"
"H4C6"	"H4C14"
"H4C6"	"H4C15"
"H4C6"	"H4-16"
"H4C8"	"H4C1"
"H4C8"	"H4C2"
"H4C8"	"H4C3"
"H4C8"	"H4C4"
"H4C8"	"H4C5"
"H4C8"	"H4C6"
"H4C8"	"H4C9"
"H4C8"	"H4C11"
"H4C8"	"H4C12"
"H4C8"	"H4C13"
"H4C8"	"H4C14"
"H4C8"	"H4C15"
"H4C8"	"H4-16"
"H4C9"	"H4C1"
"H4C9"	"H4C2"
"H4C9"	"H4C3"
"H4C9"	"H4C4"
"H4C9"	"H4C5"
"H4C9"	"H4C6"
"H4C9"	"H4C8"
"H4C9"	"H4C11"
"H4C9"	"H4C12"
"H4C9"	"H4C13"
"H4C9"	"H4C14"
"H4C9"	"H4C15"
"H4C9"	"H4-16"
"H4C11"	"H4C1"
"H4C11"	"H4C2"
"H4C11"	"H4C3"
"H4C11"	"H4C4"
"H4C11"	"H4C5"
"H4C11"	"H4C6"
"H4C11"	"H4C8"
"H4C11"	"H4C9"
"H4C11"	"H4C12"
"H4C11"	"H4C13"
"H4C11"	"H4C14"
"H4C11"	"H4C15"
"H4C11"	"H4-16"
"H4C12"	"H4C1"
"H4C12"	"H4C2"
"H4C12"	"H4C3"
"H4C12"	"H4C4"
"H4C12"	"H4C5"
"H4C12"	"H4C6"
"H4C12"	"H4C8"
"H4C12"	"H4C9"
"H4C12"	"H4C11"
"H4C12"	"H4C13"
"H4C12"	"H4C14"
"H4C12"	"H4C15"
"H4C12"	"H4-16"
"H4C13"	"H4C1"
"H4C13"	"H4C2"
"H4C13"	"H4C3"
"H4C13"	"H4C4"
"H4C13"	"H4C5"
"H4C13"	"H4C6"
"H4C13"	"H4C8"
"H4C13"	"H4C9"
"H4C13"	"H4C11"
"H4C13"	"H4C12"
"H4C13"	"H4C14"
"H4C13"	"H4C15"
"H4C13"	"H4-16"
"H4C14"	"H4C1"
"H4C14"	"H4C2"
"H4C14"	"H4C3"
"H4C14"	"H4C4"
"H4C14"	"H4C5"
"H4C14"	"H4C6"
"H4C14"	"H4C8"
"H4C14"	"H4C9"
"H4C14"	"H4C11"
"H4C14"	"H4C12"
"H4C14"	"H4C13"
"H4C14"	"H4C15"
"H4C14"	"H4-16"
"H4C15"	"H4C1"
"H4C15"	"H4C2"
"H4C15"	"H4C3"
"H4C15"	"H4C4"
"H4C15"	"H4C5"
"H4C15"	"H4C6"
"H4C15"	"H4C8"
"H4C15"	"H4C9"
"H4C15"	"H4C11"
"H4C15"	"H4C12"
"H4C15"	"H4C13"
"H4C15"	"H4C14"
"H4C15"	"H4-16"
"H4-16"	"H4C1"
"H4-16"	"H4C2"
"H4-16"	"H4C3"
"H4-16"	"H4C4"
"H4-16"	"H4C5"
"H4-16"	"H4C6"
"H4-16"	"H4C8"
"H4-16"	"H4C9"
"H4-16"	"H4C11"
"H4-16"	"H4C12"
"H4-16"	"H4C13"
"H4-16"	"H4C14"
"H4-16"	"H4C15"
"H4C1"	"H3C1"
"H4C1"	"H3C2"
"H4C1"	"H3C3"
"H4C1"	"H3C4"
"H4C1"	"H3C6"
"H4C1"	"H3C7"
"H4C1"	"H3C8"
"H4C1"	"H3C10"
"H4C1"	"H3C11"
"H4C1"	"H3C12"
"H4C2"	"H3C1"
"H4C2"	"H3C2"
"H4C2"	"H3C3"
"H4C2"	"H3C4"
"H4C2"	"H3C6"
"H4C2"	"H3C7"
"H4C2"	"H3C8"
"H4C2"	"H3C10"
"H4C2"	"H3C11"
"H4C2"	"H3C12"
"H4C3"	"H3C1"
"H4C3"	"H3C2"
"H4C3"	"H3C3"
"H4C3"	"H3C4"
"H4C3"	"H3C6"
"H4C3"	"H3C7"
"H4C3"	"H3C8"
"H4C3"	"H3C10"
"H4C3"	"H3C11"
"H4C3"	"H3C12"
"H4C4"	"H3C1"
"H4C4"	"H3C2"
"H4C4"	"H3C3"
"H4C4"	"H3C4"
"H4C4"	"H3C6"
"H4C4"	"H3C7"
"H4C4"	"H3C8"
"H4C4"	"H3C10"
"H4C4"	"H3C11"
"H4C4"	"H3C12"
"H4C5"	"H3C1"
"H4C5"	"H3C2"
"H4C5"	"H3C3"
"H4C5"	"H3C4"
"H4C5"	"H3C6"
"H4C5"	"H3C7"
"H4C5"	"H3C8"
"H4C5"	"H3C10"
"H4C5"	"H3C11"
"H4C5"	"H3C12"
"H4C6"	"H3C1"
"H4C6"	"H3C2"
"H4C6"	"H3C3"
"H4C6"	"H3C4"
"H4C6"	"H3C6"
"H4C6"	"H3C7"
"H4C6"	"H3C8"
"H4C6"	"H3C10"
"H4C6"	"H3C11"
"H4C6"	"H3C12"
"H4C8"	"H3C1"
"H4C8"	"H3C2"
"H4C8"	"H3C3"
"H4C8"	"H3C4"
"H4C8"	"H3C6"
"H4C8"	"H3C7"
"H4C8"	"H3C8"
"H4C8"	"H3C10"
"H4C8"	"H3C11"
"H4C8"	"H3C12"
"H4C9"	"H3C1"
"H4C9"	"H3C2"
"H4C9"	"H3C3"
"H4C9"	"H3C4"
"H4C9"	"H3C6"
"H4C9"	"H3C7"
"H4C9"	"H3C8"
"H4C9"	"H3C10"
"H4C9"	"H3C11"
"H4C9"	"H3C12"
"H4C11"	"H3C1"
"H4C11"	"H3C2"
"H4C11"	"H3C3"
"H4C11"	"H3C4"
"H4C11"	"H3C6"
"H4C11"	"H3C7"
"H4C11"	"H3C8"
"H4C11"	"H3C10"
"H4C11"	"H3C11"
"H4C11"	"H3C12"
"H4C12"	"H3C1"
"H4C12"	"H3C2"
"H4C12"	"H3C3"
"H4C12"	"H3C4"
"H4C12"	"H3C6"
"H4C12"	"H3C7"
"H4C12"	"H3C8"
"H4C12"	"H3C10"
"H4C12"	"H3C11"
"H4C12"	"H3C12"
"H4C13"	"H3C1"
"H4C13"	"H3C2"
"H4C13"	"H3C3"
"H4C13"	"H3C4"
"H4C13"	"H3C6"
"H4C13"	"H3C7"
"H4C13"	"H3C8"
"H4C13"	"H3C10"
"H4C13"	"H3C11"
"H4C13"	"H3C12"
"H4C14"	"H3C1"
"H4C14"	"H3C2"
"H4C14"	"H3C3"
"H4C14"	"H3C4"
"H4C14"	"H3C6"
"H4C14"	"H3C7"
"H4C14"	"H3C8"
"H4C14"	"H3C10"
"H4C14"	"H3C11"
"H4C14"	"H3C12"
"H4C15"	"H3C1"
"H4C15"	"H3C2"
"H4C15"	"H3C3"
"H4C15"	"H3C4"
"H4C15"	"H3C6"
"H4C15"	"H3C7"
"H4C15"	"H3C8"
"H4C15"	"H3C10"
"H4C15"	"H3C11"
"H4C15"	"H3C12"
"H4-16"	"H3C1"
"H4-16"	"H3C2"
"H4-16"	"H3C3"
"H4-16"	"H3C4"
"H4-16"	"H3C6"
"H4-16"	"H3C7"
"H4-16"	"H3C8"
"H4-16"	"H3C10"
"H4-16"	"H3C11"
"H4-16"	"H3C12"
"H4C1"	"H3-3A"
"H4C1"	"H3-3B"
"H4C2"	"H3-3A"
"H4C2"	"H3-3B"
"H4C3"	"H3-3A"
"H4C3"	"H3-3B"
"H4C4"	"H3-3A"
"H4C4"	"H3-3B"
"H4C5"	"H3-3A"
"H4C5"	"H3-3B"
"H4C6"	"H3-3A"
"H4C6"	"H3-3B"
"H4C8"	"H3-3A"
"H4C8"	"H3-3B"
"H4C9"	"H3-3A"
"H4C9"	"H3-3B"
"H4C11"	"H3-3A"
"H4C11"	"H3-3B"
"H4C12"	"H3-3A"
"H4C12"	"H3-3B"
"H4C13"	"H3-3A"
"H4C13"	"H3-3B"
"H4C14"	"H3-3A"
"H4C14"	"H3-3B"
"H4C15"	"H3-3A"
"H4C15"	"H3-3B"
"H4-16"	"H3-3A"
"H4-16"	"H3-3B"
"H4C1"	"HIST2H3A"
"H4C1"	"HIST2H3C"
"H4C1"	"HIST2H3D"
"H4C2"	"HIST2H3A"
"H4C2"	"HIST2H3C"
"H4C2"	"HIST2H3D"
"H4C3"	"HIST2H3A"
