gene_name	log2FC
FKBP4	1.46525091334507
CYP26B1	-2.04165173941534
DBNDD1	1.88128315898039
SEMA3F	1.13802715995705
SLC7A2	1.21637281146507
HSPB6	-4.61015044352844
PDK4	-3.64580597396096
BAIAP2L1	1.10636277759989
TMEM132A	2.19134963026762
GGCT	1.35573470069958
HOXA11	1.07527653578608
CX3CL1	-2.37977124854401
CEACAM7	1.74233877767689
RPUSD1	1.39916153835122
CAMK1G	1.11637227254821
MGST1	-1.2003156399201
CPA1	-4.2392512511493
CYP4F2	1.17364230600046
NME1	1.90771935333156
INMT	-2.37719224248831
GPRC5A	2.32458810372259
SCTR	-2.37288118102881
SYT13	4.88169059023874
GABRA1	3.23079043536713
PIGQ	1.24927775736543
MYOC	-6.85955550358704
OTC	-3.31832159670748
RTN4R	1.35686110928956
ZPBP	-1.09948265256627
DCN	-2.00890829912283
GUCA1A	2.00838570216881
UTS2	2.12138911062402
RFC2	1.02368880594434
NFE2L3	1.2296711968212
TNIP3	1.72934065647163
TLL1	-1.29071396182234
NNAT	-3.5020347648674
CBLN4	-1.56498088068219
CLDN11	-2.32270268592707
RELT	1.55375613281599
ENPP2	-2.70799932677704
CREB3L3	1.74630762188496
TRPM5	2.57573952466485
KDM4B	1.15301826368813
PANX2	1.79370130448159
CAMSAP3	1.15226967124944
CTTNBP2	-1.11609646534208
ACTL6B	3.37480744319432
FAM135B	2.33567867047383
KIF22	1.46145309535195
PRSS22	1.47863937186644
CELSR3	2.50715158136727
PYGM	-2.97759590276235
BCL3	1.0363103240447
PRLH	3.17075589695376
REEP1	1.19044103699795
EPHA8	3.61131711900956
TRIP13	2.48875923724043
LLGL2	1.78745803953933
KRT14	-1.74476694738529
KRT20	3.60306142435931
FGF4	2.79755095205522
NMRK2	-2.07307046605341
MASP1	-3.29207593203966
BPIFB2	1.25332985753416
P2RY10	1.30541069988946
TNS1	-3.11220182093078
NGFR	-1.97376578366824
ASNS	1.04292734907445
DRD4	1.58186229977418
SCT	4.28443083828092
MRPS34	1.39623792953135
CA12	1.71882779258161
CLIC5	-2.48346352194849
FAP	1.63444792924301
DMRT3	-1.24847037095224
CCN5	-1.60168524975629
GAL3ST2	4.74691261170475
PCDHB4	-1.04787935387524
FAM234B	1.60509234987654
NME8	1.12250947338752
EPDR1	-1.84434974251824
CEACAM6	4.7777429118144
PPP1R15A	-1.26172245077836
CETP	-2.32422347699532
MT3	2.4961130273989
SULT2B1	1.00344675326788
EPS8L1	1.40454732765046
DNMT3B	1.53456170114611
PDRG1	1.12823204986818
OAS1	1.47225034324371
LAG3	2.03373665347605
OTUB2	1.14703307436199
LTBP4	-1.89361160118297
CHRD	1.43208964403659
THPO	1.80753958066543
CD209	-2.51851827944091
DLL3	2.82831348024013
NAT14	1.73677700240131
ABCC6	-1.33707187711848
ESR1	1.70341556033283
CCDC80	-1.8683974829308
CMA1	-2.93637789901441
CEBPE	1.13701508966197
TBX15	-2.28148385519238
UNC13D	1.10031515471325
ADH7	-1.23077030666365
ADH1A	-5.13466819423364
CDC6	2.98547567439884
FMO2	-3.2562678963162
RAB26	3.08363538247287
NANS	1.19601644899165
GSTA3	2.22871557074302
TGFBR3	-2.46688516137612
EFNA2	4.176190088771
IGFALS	2.92400221381624
MISP	3.20505302071333
MADCAM1	1.00636776511961
MMP11	6.26182200037168
MIF	1.96259279921315
OSM	1.42228886676074
USP18	1.16329225733517
TCN2	-1.04383892164745
PLA2G3	1.94697416477223
ASPHD2	1.09374313569349
CENPM	2.7446364701891
KDELR3	1.08656595279916
XBP1	1.05270531313881
MIOX	1.40409035262263
RHBDD3	1.0588021808202
RASL10A	-1.84105179569797
BIK	1.62421307668711
RASD2	1.05985569546712
TTLL12	1.36846557081708
CBX7	-1.55710616026022
CABP7	1.95874880540137
PVALB	5.03076265010859
IL2RB	1.06006124936939
CTSG	-1.8136501198701
GZMB	1.48273572700033
COCH	1.03036982550349
POLE2	1.57784806573821
