node	attribute
lepirudin	drug
cetuximab	drug
denileukin diftitox	drug
etanercept	drug
bivalirudin	drug
leuprolide	drug
peginterferon alfa-2a	drug
alteplase	drug
sermorelin	drug
interferon alfa-n1	drug
darbepoetin alfa	drug
urokinase	drug
goserelin	drug
reteplase	drug
erythropoietin	drug
salmon calcitonin	drug
interferon alfa-n3	drug
pegfilgrastim	drug
sargramostim	drug
peginterferon alfa-2b	drug
thyrotropin alfa	drug
antihemophilic factor, human recombinant	drug
anakinra	drug
human immunoglobulin g	drug
anistreplase	drug
insulin human	drug
tenecteplase	drug
menotropins	drug
interferon gamma-1b	drug
interferon alfa-2a, recombinant	drug
desmopressin	drug
coagulation factor viia recombinant human	drug
oprelvekin	drug
palifermin	drug
glucagon	drug
aldesleukin	drug
botulinum toxin type b	drug
omalizumab	drug
lutropin alfa	drug
lyme disease vaccine (recombinant ospa)	drug
insulin lispro	drug
insulin glargine	drug
collagenase clostridium histolyticum	drug
cetrorelix	drug
adalimumab	drug
somatotropin	drug
abciximab	drug
drotrecogin alfa	drug
gemtuzumab ozogamicin	drug
alpha-1-proteinase inhibitor	drug
interferon beta-1a	drug
pegademase	drug
eptifibatide	drug
infliximab	drug
follitropin	drug
vasopressin	drug
interferon beta-1b	drug
interferon alfacon-1	drug
hyaluronidase (ovine)	drug
insulin pork	drug
trastuzumab	drug
rituximab	drug
basiliximab	drug
muromonab	drug
ibritumomab tiuxetan	drug
tositumomab	drug
pegvisomant	drug
botulinum toxin type a	drug
streptokinase	drug
alemtuzumab	drug
capromab pendetide	drug
cyclosporine	drug
alefacept	drug
felypressin	drug
urofollitropin	drug
efalizumab	drug
choriogonadotropin alfa	drug
antithymocyte immunoglobulin (rabbit)	drug
filgrastim	drug
coagulation factor ix (recombinant)	drug
becaplermin	drug
interferon alfa-2b	drug
abarelix	drug
oxytocin	drug
natalizumab	drug
palivizumab	drug
daclizumab	drug
bevacizumab	drug
technetium tc-99m arcitumomab	drug
pyridoxal phosphate	drug
cyanocobalamin	drug
tetrahydrofolic acid	drug
histidine	drug
ademetionine	drug
pyruvic acid	drug
phenylalanine	drug
biotin	drug
choline	drug
