methyl_chr	methyl_start	methyl_end	name	chr	med_start3kb	med_end3kb	enhancer	Chr	Coordinate	Strand	Methylation.Status	Methylation.Difference	Meancase	Meancontrol	Region	GeneName
10	13200650	13200650	chr10:13158650	10	13200624	13201003	chr10:13200624-13201003	chr10	13158650	-	hypomethylation	-0.44	0.38	0.82	TTS10kb	RP11-730A19.7
10	13200650	13200650	chr10:13158650	10	13200624	13201003	chr10:13200624-13201003	chr10	13158650	-	hypomethylation	-0.44	0.38	0.82	TSS1500	BTBD7P1
10	13200696	13200696	chr10:13158696	10	13200624	13201003	chr10:13200624-13201003	chr10	13158696	-	hypomethylation	-0.43	0.47	0.9	TSS1500	BTBD7P1
10	13200696	13200696	chr10:13158696	10	13200624	13201003	chr10:13200624-13201003	chr10	13158696	-	hypomethylation	-0.43	0.47	0.9	TTS10kb	RP11-730A19.7
10	13200736	13200736	chr10:13158736	10	13200624	13201003	chr10:13200624-13201003	chr10	13158736	-	hypomethylation	-0.54	0.46	1	TSS1500	BTBD7P1
10	13200736	13200736	chr10:13158736	10	13200624	13201003	chr10:13200624-13201003	chr10	13158736	-	hypomethylation	-0.54	0.46	1	TTS10kb	RP11-730A19.7
10	13200742	13200742	chr10:13158742	10	13200624	13201003	chr10:13200624-13201003	chr10	13158742	-	hypomethylation	-0.5	0.5	1	TSS1500	BTBD7P1
10	13200742	13200742	chr10:13158742	10	13200624	13201003	chr10:13200624-13201003	chr10	13158742	-	hypomethylation	-0.5	0.5	1	TTS10kb	RP11-730A19.7
10	13200759	13200759	chr10:13158759	10	13200624	13201003	chr10:13200624-13201003	chr10	13158759	-	hypomethylation	-0.52	0.48	1	TTS10kb	RP11-730A19.7
10	13200759	13200759	chr10:13158759	10	13200624	13201003	chr10:13200624-13201003	chr10	13158759	-	hypomethylation	-0.52	0.48	1	TSS1500	BTBD7P1
10	13200766	13200766	chr10:13158766	10	13200624	13201003	chr10:13200624-13201003	chr10	13158766	-	hypomethylation	-0.48	0.52	1	TTS10kb	RP11-730A19.7
10	13200766	13200766	chr10:13158766	10	13200624	13201003	chr10:13200624-13201003	chr10	13158766	-	hypomethylation	-0.48	0.52	1	TSS1500	BTBD7P1
10	13200800	13200800	chr10:13158800	10	13200624	13201003	chr10:13200624-13201003	chr10	13158800	-	hypomethylation	-0.42	0.58	1	TTS10kb	RP11-730A19.7
10	13200800	13200800	chr10:13158800	10	13200624	13201003	chr10:13200624-13201003	chr10	13158800	-	hypomethylation	-0.42	0.58	1	TSS1500	BTBD7P1
10	13200822	13200822	chr10:13158822	10	13200624	13201003	chr10:13200624-13201003	chr10	13158822	-	hypomethylation	-0.43	0.57	1	TTS10kb	RP11-730A19.7
10	13200822	13200822	chr10:13158822	10	13200624	13201003	chr10:13200624-13201003	chr10	13158822	-	hypomethylation	-0.43	0.57	1	TSS1500	BTBD7P1
10	13200834	13200834	chr10:13158834	10	13200624	13201003	chr10:13200624-13201003	chr10	13158834	-	hypomethylation	-0.52	0.43	0.95	TTS10kb	RP11-730A19.7
10	13200834	13200834	chr10:13158834	10	13200624	13201003	chr10:13200624-13201003	chr10	13158834	-	hypomethylation	-0.52	0.43	0.95	TSS1500	BTBD7P1
10	133776231	133776231	chr10:131962727	10	133776164	133776302	chr10:133776164-133776302	chr10	131962727	+	hypomethylation	-0.39	0.47	0.87	TTS10kb	PPP2R2D
10	133776231	133776231	chr10:131962727	10	133776164	133776302	chr10:133776164-133776302	chr10	131962727	-	hypomethylation	-0.39	0.47	0.87	TTS10kb	BNIP3
10	133776284	133776284	chr10:131962780	10	133776164	133776302	chr10:133776164-133776302	chr10	131962780	-	hypomethylation	-0.38	0.48	0.86	TTS10kb	BNIP3
10	133776284	133776284	chr10:131962780	10	133776164	133776302	chr10:133776164-133776302	chr10	131962780	+	hypomethylation	-0.38	0.48	0.86	TTS10kb	PPP2R2D
