Chromosome	Start	End	Type	chr	med_start3kb	med_end3kb	enhancer	diff_CNV_intersect	q	G.score	average.amplitude	frequency
10	11838669	11960602	Amp	10	11924114	11924319	chr10:11924114-11924319	205	3.217334	0.188423	0.654187	0.273148
10	12276047	12312136	Amp	10	12306536	12306777	chr10:12306536-12306777	241	3.30872	0.18972	0.654966	0.274074
10	127407591	127444774	Del	10	127432481	127432807	chr10:127432481-127432807	326	4.030853	0.087414	0.395459	0.275
10	128588288	128932753	Del	10	128592998	128593177	chr10:128592998-128593177	179	5.19499	0.093629	0.401289	0.280556
10	129701945	129884935	Del	10	129704108	129704655	chr10:129704108-129704655	547	6.765941	0.101148	0.407288	0.278704
10	129885470	129928073	Del	10	129893841	129894010	chr10:129893841-129894010	169	7.343549	0.103854	0.405566	0.282407
10	129930990	131567188	Del	10	130833688	130833933	chr10:130833688-130833933	245	7.801708	0.105859	0.405509	0.284259
10	13179444	13319030	Amp	10	13200624	13201003	chr10:13200624-13201003	379	2.245388	0.174103	0.64313	0.269444
10	131984387	133743464	Del	10	132011680	132011894	chr10:132011680-132011894	214	10.52147	0.116786	0.411663	0.287037
10	131984387	133743464	Del	10	132099901	132100191	chr10:132099901-132100191	290	10.52147	0.116786	0.411663	0.287037
10	131984387	133743464	Del	10	133742915	133743140	chr10:133742915-133743140	225	10.52147	0.116786	0.411663	0.287037
10	133744328	133777786	Del	10	133776164	133776302	chr10:133776164-133776302	138	10.193271	0.115483	0.407588	0.289815
10	133778895	133895635	Del	10	133879247	133879524	chr10:133879247-133879524	277	10.723335	0.117588	0.407588	0.289815
10	134204285	134236448	Del	10	134208745	134209013	chr10:134208745-134209013	268	10.812701	0.117889	0.407717	0.288889
10	134204285	134236448	Del	10	134234707	134235257	chr10:134234707-134235257	550	10.812701	0.117889	0.407717	0.288889
10	134204285	134236448	Del	10	134235789	134236113	chr10:134235789-134236113	324	10.812701	0.117889	0.407717	0.288889
10	134237425	134560596	Del	10	134260341	134260546	chr10:134260341-134260546	205	10.891465	0.118189	0.407717	0.288889
10	134237425	134560596	Del	10	134266616	134267060	chr10:134266616-134267060	444	10.891465	0.118189	0.407717	0.288889
10	134237425	134560596	Del	10	134330832	134331178	chr10:134330832-134331178	346	10.891465	0.118189	0.407717	0.288889
10	134237425	134560596	Del	10	134349556	134349919	chr10:134349556-134349919	363	10.891465	0.118189	0.407717	0.288889
10	134560811	134868453	Del	10	134826121	134826621	chr10:134826121-134826621	500	11.598784	0.120796	0.408569	0.291667
10	134560811	134868453	Del	10	134826942	134827305	chr10:134826942-134827305	363	11.598784	0.120796	0.408569	0.291667
10	135017319	135056464	Del	10	135048867	135049308	chr10:135048867-135049308	441	12.096501	0.1226	0.409693	0.293519
