enhancer	Mutation.Status	Methylation.Status	CNV.Status	regualation_class	Methylation_1	Methylation_2	CNV_1	CNV_2	regualation_1	regualation_2	Mutation_1
chr1:10245595-10245867	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr1:10447707-10448369	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr1:12210430-12211346	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr1:12589452-12589763	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr1:12599928-12600179	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr1:12600525-12600853	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr1:16489021-16489207	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr1:16508402-16508642	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr1:16511251-16511623	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr1:19283819-19283997	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr1:22002610-22002786	Non_mutation	Hypomethylation	Del	Downregulated	1	0	1	0	1	0	0
chr1:234658291-234658851	Non_mutation	Hypermethylation	Amp	Downregulated	0	1	0	1	1	0	0
chr1:24477754-24478041	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr1:25566618-25566670	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr1:26123435-26123824	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr1:27184739-27184972	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr1:27185457-27185720	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr1:27185755-27186143	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr1:27383957-27384315	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr1:8137301-8137521	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr1:8173446-8173525	Non_mutation	Hypermethylation	Del	Downregulated	0	1	1	0	1	0	0
chr1:8187563-8187834	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr1:8194345-8194402	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr1:8195042-8195246	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr1:8198088-8198334	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr10:4283808-4284356	Non_mutation	Hypermethylation	Amp	Downregulated	0	1	0	1	1	0	0
chr10:45375087-45375420	Non_mutation	Hypermethylation	Non_CNV	Downregulated	0	1	0	0	1	0	0
chr10:7583205-7583490	Non_mutation	Hypermethylation	Amp	Downregulated	0	1	0	1	1	0	0
chr11:10935638-10935889	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
chr11:10938352-10938640	Non_mutation	Non_methylation	Del	Downregulated	0	0	1	0	1	0	0
