enhancer	log2_FC	p	diff_fdr
chr11:45255111-45255224	-1.634057318	3.23E-34	1.76E-30
chr16:79635433-79635866	-2.224685928	2.35E-32	6.40E-29
chr11:118663387-118663780	-1.408848134	1.46E-31	2.65E-28
chr21:17906909-17907886	-2.552234538	1.88E-28	2.56E-25
chr7:31033316-31033696	-3.628530523	4.35E-28	4.73E-25
chr21:28343155-28343488	-3.104654396	1.93E-27	1.75E-24
chr6:117069916-117070184	-2.410140401	9.52E-27	7.40E-24
chr21:28288547-28289033	-2.889485293	2.30E-26	1.56E-23
chr22:46004834-46005031	-2.599097233	6.62E-26	4.00E-23
chr4:166422422-166422684	-2.442608532	2.29E-25	1.25E-22
chr16:83960761-83960901	-2.010097257	1.73E-24	8.58E-22
chr4:99984592-99984944	-1.578124163	6.36E-24	2.88E-21
chr8:30237954-30238310	-2.435320266	8.65E-23	3.62E-20
chr11:114127214-114127717	-3.754031165	2.23E-22	8.67E-20
chr16:83953538-83953937	-1.656220209	5.20E-22	1.89E-19
chr10:3991165-3991394	-2.67535113	9.16E-22	3.11E-19
chr8:91064955-91065319	-1.121812183	8.78E-20	2.81E-17
chr4:190197516-190197817	-1.073927232	1.06E-19	3.17E-17
chr4:144401789-144402147	-1.117948385	1.11E-19	3.17E-17
chr4:110464231-110464470	-1.15410245	4.43E-19	1.21E-16
chr21:29476694-29476903	-3.875829794	5.23E-19	1.36E-16
chr6:169827902-169828288	-1.345880988	8.76E-19	2.17E-16
chr17:7737438-7738736	-1.459279116	2.04E-18	4.83E-16
chr10:3975714-3975890	-3.971356272	2.13E-18	4.83E-16
chr17:4839784-4839936	-1.157875696	2.32E-18	5.06E-16
chr3:197301708-197302062	-1.40208544	7.44E-18	1.56E-15
chr7:17029591-17029925	-2.011008194	8.37E-18	1.69E-15
chr15:95790334-95790617	-2.019010641	1.53E-17	2.97E-15
chr18:12306995-12307375	-1.361065635	3.14E-17	5.88E-15
chr7:116202174-116202561	-3.860040256	3.33E-17	6.03E-15
chr11:2907965-2908172	-1.980377161	3.79E-17	6.66E-15
chr10:7583205-7583490	-4.023320866	4.18E-17	7.10E-15
chr22:28372624-28372939	-1.06863099	5.06E-17	8.34E-15
chr2:235372630-235373257	-3.917787572	6.72E-17	1.08E-14
chr20:62170184-62170345	2.293663052	8.52E-17	1.32E-14
chr20:51585434-51585541	-4.036041743	1.09E-16	1.65E-14
chr8:38757431-38758061	-1.005592321	1.23E-16	1.80E-14
chr3:188658561-188658620	-1.392435538	2.32E-16	3.32E-14
chr6:138019778-138020625	2.102237984	2.74E-16	3.82E-14
chr4:184686793-184687036	-2.204745735	5.34E-16	7.15E-14
chr6:169573934-169574190	3.387436169	5.39E-16	7.15E-14
chr20:30624710-30624829	-1.9021418	7.09E-16	9.19E-14
chr5:44440190-44440314	-3.111175607	7.66E-16	9.69E-14
chr3:134069780-134070244	-2.105938859	1.07E-15	1.32E-13
chr11:125992920-125993185	-4.41182997	1.35E-15	1.64E-13
chr16:87359959-87360279	-1.552525125	1.43E-15	1.69E-13
chr12:6526261-6526580	-1.43271622	1.53E-15	1.78E-13
chr5:56784239-56784594	-2.826332836	1.81E-15	2.05E-13
chr2:239754500-239754642	-1.39453009	2.54E-15	2.82E-13
chr9:120481913-120482131	-1.408947633	3.19E-15	3.47E-13
chr8:27449540-27450013	-1.541269963	4.99E-15	5.32E-13
chr21:47394030-47394545	-2.096881377	5.33E-15	5.58E-13
chr10:3983198-3983475	-3.874829811	5.74E-15	5.85E-13
chr8:12615021-12615285	-2.172093105	5.81E-15	5.85E-13
chr20:30622441-30622925	-1.756903286	6.01E-15	5.95E-13
chr4:174435467-174435730	-2.754732479	6.79E-15	6.59E-13
chr20:5042007-5042186	-1.158749544	7.72E-15	7.31E-13
chr14:104018443-104019067	-1.855560375	7.79E-15	7.31E-13
chr9:120482943-120483330	-1.534495207	8.04E-15	7.41E-13
chr1:10447707-10448369	-1.084366396	9.40E-15	8.53E-13
chr4:187948547-187948771	-3.883627207	1.20E-14	1.07E-12
chr3:134068231-134068586	-1.79813954	1.68E-14	1.47E-12
chr15:93580534-93580838	-2.04796098	2.14E-14	1.85E-12
chr11:35443384-35443774	-3.843274724	2.90E-14	2.42E-12
chr20:1782055-1782441	-2.242090562	3.03E-14	2.50E-12
chr17:16374519-16374788	-1.18799987	4.27E-14	3.41E-12
chr16:53077641-53077824	-2.498471112	4.56E-14	3.60E-12
chr18:11947272-11947721	-2.185242653	4.79E-14	3.72E-12
chr11:10935638-10935889	-1.369323437	5.97E-14	4.58E-12
chr7:27143635-27143783	-1.657368689	6.69E-14	5.05E-12
chr5:172193800-172194232	-2.723808236	9.82E-14	7.25E-12
chr10:3984866-3985563	-2.680542871	9.85E-14	7.25E-12
chr16:66536058-66536398	-1.809441343	1.08E-13	7.86E-12
chr15:95830783-95831278	-1.951122768	1.15E-13	8.21E-12
chr20:1785698-1786068	-2.472032012	1.45E-13	1.03E-11
chr6:169572627-169572772	1.943555675	1.80E-13	1.26E-11
chr7:151622915-151623433	-2.726087354	1.98E-13	1.36E-11
chr14:38721175-38721449	-1.130996261	2.31E-13	1.57E-11
