name	methyl_chr	methyl_start	methyl_end	Chr	Coordinate	Strand	Methylation.Status	Methylation.Difference	Meancase	Meancontrol	Region	GeneName
chr10:100065361	chr10	101825118	101825118	chr10	100065361	-	hypermethylation	0.308062013105641	0.825460027434832	0.517398014329191	5'UTR	CPN1
chr10:100115072	chr10	101874829	101874829	chr10	100115072	-	hypermethylation	0.354926803190785	0.55310938038591	0.198182577195125	1_exon	TPM4P1
chr10:100115271	chr10	101875028	101875028	chr10	100115271	-	hypermethylation	0.464052347970685	0.581932773858192	0.117880425887507	TSS200	TPM4P1
chr10:100115278	chr10	101875035	101875035	chr10	100115278	-	hypermethylation	0.43010005192226	0.504518682970833	0.0744186310485734	TSS200	TPM4P1
chr10:100829710	chr10	102589467	102589467	chr10	100829710	+	hypermethylation	0.363803664490334	0.571097116847565	0.207293452357232	3'UTR	PAX2
chr10:100829775	chr10	102589532	102589532	chr10	100829775	+	hypermethylation	0.317776090611256	0.468140710153412	0.150364619542156	3'UTR	PAX2
chr10:100829788	chr10	102589545	102589545	chr10	100829788	+	hypermethylation	0.33795313497992	0.450804923600637	0.112851788620717	3'UTR	PAX2
chr10:101227500	chr10	102987257	102987257	chr10	101227500	-	hypermethylation	0.306631978721817	0.46166522231659	0.155033243594773	genebody	LBX1
chr10:102241074	chr10	104000831	104000831	chr10	102241074	-	hypermethylation	0.362016305662218	0.567642901010506	0.205626595348288	intron	PITX3
chr10:102647233	chr10	104406990	104406990	chr10	102647233	+	hypermethylation	0.307555519987155	0.615533862642193	0.307978342655038	intron	TRIM8
chr10:102674253	chr10	104434010	104434010	chr10	102674253	-	hypermethylation	0.339500137192632	0.508164302095892	0.16866416490326	3'UTR	ARL3
chr10:102988837	chr10	104748594	104748594	chr10	102988837	+	hypomethylation	-0.31585257932154	0.511662114303984	0.827514693625523	intron	CNNM2
chr10:103276854	chr10	105036611	105036611	chr10	103276854	+	hypermethylation	0.323114680615224	0.37214859318578	0.0490339125705563	TSS1500	INA
chr10:103276944	chr10	105036701	105036701	chr10	103276944	+	hypermethylation	0.345141536941839	0.382208230429011	0.0370666934871721	TSS1500	INA
chr10:103276970	chr10	105036727	105036727	chr10	103276970	+	hypermethylation	0.389446558937655	0.435310878757902	0.0458643198202467	TSS200	INA
chr10:103277106	chr10	105036863	105036863	chr10	103277106	+	hypermethylation	0.329909247749896	0.367177751988845	0.0372685042389488	TSS200	INA
chr10:103277746	chr10	105037503	105037503	chr10	103277746	+	hypermethylation	0.396596094751861	0.462233338738305	0.0656372439864442	genebody	INA
chr10:103277904	chr10	105037661	105037661	chr10	103277904	+	hypermethylation	0.37388612645373	0.473405030027923	0.0995189035741933	genebody	INA
chr10:103820141	chr10	105579899	105579899	chr10	103820141	-	hypermethylation	0.318563833924963	0.489484217068508	0.170920383143545	intron	SH3PXD2A
chr10:104328944	chr10	106088702	106088702	chr10	104328944	-	hypermethylation	0.302629347935861	0.514052380027543	0.211423032091682	intron	ITPRIP
chr10:104328953	chr10	106088711	106088711	chr10	104328953	-	hypermethylation	0.303288649543006	0.586949014541773	0.283660364998767	intron	ITPRIP
chr10:10793056	chr10	10835019	10835019	chr10	10793056	-	hypomethylation	-0.328514768014048	0.500667730595262	0.82918249860931	intron	SFTA1P
chr10:10795855	chr10	10837818	10837818	chr10	10795855	-	hypomethylation	-0.378813542492192	0.312016071618756	0.690829614110948	TSS1500	SFTA1P
chr10:10945265	chr10	10987228	10987228	chr10	10945265	-	hypomethylation	-0.346736848693987	0.460553858826721	0.807290707520709	intron	LINC00710
chr10:10952226	chr10	10994189	10994189	chr10	10952226	-	hypomethylation	-0.318897466933707	0.570874350679662	0.88977181761337	TSS200	LINC00710
chr10:10953097	chr10	10995060	10995060	chr10	10953097	-	hypomethylation	-0.399147284137755	0.496312359856795	0.895459643994551	TSS1500	LINC00710
