Disease	Resource	Chr	Strand	Coordinate	Region	ProbeID	GeneID	GeneName	GeneType	TranscriptID	TranscriptName	TranscriptType	Methylation Status	Pvalue	FDR	Methylation Difference	Meancase	Meancontrol
Breast invasive carcinoma	TCGA	chrX	-	6535746	TSS1500	cg10502655	ENSG00000169059.11	VCX3A	protein_coding	ENST00000398729.1	VCX3A-201	protein_coding	hypomethylation	1.1e-42	3.6e-41	-0.305761660672824	0.566663934247232	0.872425594920056
Breast invasive carcinoma	TCGA	chrX	-	11603021	intron	cg25298085	ENSG00000047648.20	ARHGAP6	protein_coding	ENST00000380718.1	ARHGAP6-003	protein_coding	hypomethylation	1.48e-33	2.84e-32	-0.302426367236139	0.586056062387279	0.888482429623418
Breast invasive carcinoma	TCGA	chrX	+	13569559	TSS200	cg00650640	ENSG00000198759.10	EGFL6	protein_coding	ENST00000380602.3	EGFL6-003	protein_coding	hypermethylation	8.7e-58	6.66e-56	0.374488638891567	0.692517020890246	0.318028381998679
Breast invasive carcinoma	TCGA	chrX	+	114584064	TSS200	cg12950441	ENSG00000147246.8	HTR2C	protein_coding	ENST00000371950.3	HTR2C-003	protein_coding	hypermethylation	2.73e-61	2.57e-59	0.337326192039239	0.439173892807969	0.10184770076873
Breast invasive carcinoma	TCGA	chrX	+	114584461	5'UTR	cg09687738	ENSG00000147246.8	HTR2C	protein_coding	ENST00000371950.3	HTR2C-003	protein_coding	hypermethylation	2.32e-55	1.55e-53	0.322306660918376	0.511565207882232	0.189258546963855
Breast invasive carcinoma	TCGA	chrX	-	126552957	TSS200	cg02261899	ENSG00000198889.4	DCAF12L1	protein_coding	ENST00000371126.2	DCAF12L1-001	protein_coding	hypermethylation	4.58e-41	1.37e-39	0.327137188161736	0.694640209317746	0.36750302115601
Breast invasive carcinoma	TCGA	chrX	+	137574422	intron	cg12323723	ENSG00000156925.10	ZIC3	protein_coding	ENST00000370606.3	ZIC3-001	protein_coding	hypermethylation	2.5e-58	1.98e-56	0.382329612754401	0.485146345741429	0.102816732987028
Breast invasive carcinoma	TCGA	chrX	+	141909336	3'UTR	cg24761827	ENSG00000155495.8	MAGEC1	protein_coding	ENST00000285879.4	MAGEC1-001	protein_coding	hypomethylation	3.25e-43	1.1e-41	-0.304151329338475	0.49552262968114	0.799673959019614
Breast invasive carcinoma	TCGA	chr1	-	1361822	TSS200	cg21165029	ENSG00000162576.15	MXRA8	protein_coding	ENST00000477278.2	MXRA8-002	protein_coding	hypermethylation	2.49e-53	1.48e-51	0.30117010565414	0.591615408182166	0.290445302528026
Breast invasive carcinoma	TCGA	chr1	-	1539829	intron	cg00813378	ENSG00000205090.7	TMEM240	protein_coding	ENST00000624426.1	TMEM240-003	protein_coding	hypermethylation	1.77e-35	3.81e-34	0.326655077688048	0.501461319057736	0.174806241369688
Breast invasive carcinoma	TCGA	chr1	+	1631308	TSS1500	cg08231710	ENSG00000189409.11	MMP23B	protein_coding	ENST00000479814.4	MMP23B-003	protein_coding	hypermethylation	6.19e-29	9.01e-28	0.339652681449775	0.506458206176847	0.166805524727072
Breast invasive carcinoma	TCGA	chr1	-	2003850	TSS200	cg26067203	ENSG00000142609.16	CFAP74	protein_coding	ENST00000493964.4	CFAP74-010	protein_coding	hypermethylation	1.89e-30	3.02e-29	0.313452136174324	0.402319400092492	0.0888672639181676
Breast invasive carcinoma	TCGA	chr1	-	2404595	3'UTR	cg01065210	ENSG00000157911.8	PEX10	protein_coding	ENST00000288774.6	PEX10-001	protein_coding	hypomethylation	8.34e-36	1.84e-34	-0.306591927582099	0.550803432159585	0.857395359741684
Breast invasive carcinoma	TCGA	chr1	+	3141587	intron	cg05343184	ENSG00000142611.15	PRDM16	protein_coding	ENST00000270722.8	PRDM16-001	protein_coding	hypomethylation	1.24e-67	1.67e-65	-0.430074079599468	0.420116557724554	0.850190637324022
Breast invasive carcinoma	TCGA	chr1	+	3112249	intron	cg12905252	ENSG00000142611.15	PRDM16	protein_coding	ENST00000270722.8	PRDM16-001	protein_coding	hypomethylation	2.23e-27	2.95e-26	-0.307573616274475	0.460939983610719	0.768513599885194
Breast invasive carcinoma	TCGA	chr1	+	3073926	intron	cg17001566	ENSG00000142611.15	PRDM16	protein_coding	ENST00000270722.8	PRDM16-001	protein_coding	hypermethylation	1.11e-54	7.17e-53	0.309148259400746	0.511107981907951	0.201959722507205
Breast invasive carcinoma	TCGA	chr1	+	3077808	intron	cg17890044	ENSG00000142611.15	PRDM16	protein_coding	ENST00000270722.8	PRDM16-001	protein_coding	hypomethylation	1.1e-49	5.29e-48	-0.31665068706002	0.541662014227318	0.858312701287338
Breast invasive carcinoma	TCGA	chr1	+	3231327	intron	cg00030466	ENSG00000142611.15	PRDM16	protein_coding	ENST00000270722.8	PRDM16-001	protein_coding	hypomethylation	9.34e-33	1.72e-31	-0.331662672063363	0.646400386590659	0.978063058654022
Breast invasive carcinoma	TCGA	chr1	+	3207131	intron	cg00581154	ENSG00000142611.15	PRDM16	protein_coding	ENST00000270722.8	PRDM16-001	protein_coding	hypomethylation	1.42e-54	9.06e-53	-0.365231680472957	0.452848933933403	0.81808061440636
Breast invasive carcinoma	TCGA	chr1	+	3194303	intron	cg01241450	ENSG00000142611.15	PRDM16	protein_coding	ENST00000270722.8	PRDM16-001	protein_coding	hypomethylation	7.18e-53	4.15e-51	-0.322271715639142	0.484646294697863	0.806918010337005
Breast invasive carcinoma	TCGA	chr1	+	3234371	intron	cg07974025	ENSG00000142611.15	PRDM16	protein_coding	ENST00000270722.8	PRDM16-001	protein_coding	hypomethylation	7.06e-47	2.93e-45	-0.358618412492859	0.537479476099224	0.896097888592083
