p.value	HR	HR.confint.lower	HR.confint.upper	CI
SEXFemale	0.9954	12648065.8014	0	Inf	12648065.8014 (0-Inf)
medage>=58	0.001	2.3881	1.4213	4.0125	2.3881 (1.4213-4.0125)
IHC_ERNegative	0.0894	2.1304	0.8902	5.0985	2.1304 (0.8902-5.0985)
IHC_PRNegative	0.5523	1.288	0.559	2.9678	1.288 (0.559-2.9678)
IHC_HER2Negative	0.9105	1.0347	0.5706	1.8762	1.0347 (0.5706-1.8762)
AJCC_MM1	0.0024	5.0472	1.7759	14.3443	5.0472 (1.7759-14.3443)
AJCC_NN2|N3	0.6658	1.2206	0.494	3.0156	1.2206 (0.494-3.0156)
AJCC_TT3|T4	0.0959	1.8183	0.8995	3.6757	1.8183 (0.8995-3.6757)
AJCC_STAGEStage 3|Stage 4	0.1774	2.0138	0.7282	5.5692	2.0138 (0.7282-5.5692)
`chr10:3848037-3849536`	0.0216	3.0006	1.1753	7.6602	3.0006 (1.1753-7.6602)
`chr10:5530637-5531333`	0.5867	1.0162	0.959	1.0768	1.0162 (0.959-1.0768)
`chr6:118759105-118759218`	0.0419	0.043	0.0021	0.8909	0.043 (0.0021-0.8909)
`chr8:116990613-116990894`	0.008	5.2619	1.5414	17.9634	5.2619 (1.5414-17.9634)
`chr8:117175146-117175377`	0.8541	0.8133	0.0899	7.3605	0.8133 (0.0899-7.3605)
`chr8:117235182-117235423`	0.2958	2.2876	0.485	10.7907	2.2876 (0.485-10.7907)
