enhancer	FC	p	diff_fdr
chr11:45255111-45255224	0.322180857	3.23E-34	1.76E-30
chr16:79635433-79635866	0.213945327	2.35E-32	6.40E-29
chr11:118663387-118663780	0.376612259	1.46E-31	2.65E-28
chr21:17906909-17907886	0.170490761	1.88E-28	2.56E-25
chr7:31033316-31033696	0.080854365	4.35E-28	4.73E-25
chr21:28343155-28343488	0.116253464	1.93E-27	1.75E-24
chr6:117069916-117070184	0.188137533	9.52E-27	7.40E-24
chr21:28288547-28289033	0.134951667	2.30E-26	1.56E-23
chr22:46004834-46005031	0.165041731	6.62E-26	4.00E-23
chr4:166422422-166422684	0.183950751	2.29E-25	1.25E-22
chr16:83960761-83960901	0.248256387	1.73E-24	8.58E-22
chr4:99984592-99984944	0.334917075	6.36E-24	2.88E-21
chr8:30237954-30238310	0.184882392	8.65E-23	3.62E-20
chr11:114127214-114127717	0.074118055	2.23E-22	8.67E-20
chr16:83953538-83953937	0.317269291	5.20E-22	1.89E-19
chr10:3991165-3991394	0.15654495	9.16E-22	3.11E-19
chr8:91064955-91065319	0.45951626	8.78E-20	2.81E-17
chr4:190197516-190197817	0.475024151	1.06E-19	3.17E-17
chr4:144401789-144402147	0.460748577	1.11E-19	3.17E-17
chr4:110464231-110464470	0.449345653	4.43E-19	1.21E-16
chr21:29476694-29476903	0.068117543	5.23E-19	1.36E-16
chr6:169827902-169828288	0.393413675	8.76E-19	2.17E-16
chr17:7737438-7738736	0.363674805	2.04E-18	4.83E-16
chr10:3975714-3975890	0.063753295	2.13E-18	4.83E-16
chr17:4839784-4839936	0.448171963	2.32E-18	5.06E-16
chr3:197301708-197302062	0.378381789	7.44E-18	1.56E-15
chr7:17029591-17029925	0.248099685	8.37E-18	1.69E-15
chr15:95790334-95790617	0.246727317	1.53E-17	2.97E-15
chr18:12306995-12307375	0.389294634	3.14E-17	5.88E-15
chr7:116202174-116202561	0.068867148	3.33E-17	6.03E-15
chr11:2907965-2908172	0.253423609	3.79E-17	6.66E-15
chr10:7583205-7583490	0.061497822	4.18E-17	7.10E-15
chr22:28372624-28372939	0.476771205	5.06E-17	8.34E-15
chr2:235372630-235373257	0.066165016	6.72E-17	1.08E-14
chr20:62170184-62170345	4.90299419	8.52E-17	1.32E-14
chr20:51585434-51585541	0.060957953	1.09E-16	1.65E-14
chr8:38757431-38758061	0.498065601	1.23E-16	1.80E-14
chr3:188658561-188658620	0.380921193	2.32E-16	3.32E-14
chr6:138019778-138020625	4.293749375	2.74E-16	3.82E-14
chr4:184686793-184687036	0.2169229	5.34E-16	7.15E-14
chr6:169573934-169574190	10.46453405	5.39E-16	7.15E-14
chr20:30624710-30624829	0.267545877	7.09E-16	9.19E-14
chr5:44440190-44440314	0.115729165	7.66E-16	9.69E-14
chr3:134069780-134070244	0.232300013	1.07E-15	1.32E-13
chr11:125992920-125993185	0.046979333	1.35E-15	1.64E-13
chr16:87359959-87360279	0.340912848	1.43E-15	1.69E-13
chr12:6526261-6526580	0.370432807	1.53E-15	1.78E-13
chr5:56784239-56784594	0.140990236	1.81E-15	2.05E-13
chr2:239754500-239754642	0.380368561	2.54E-15	2.82E-13
chr9:120481913-120482131	0.376586286	3.19E-15	3.47E-13
chr8:27449540-27450013	0.343582875	4.99E-15	5.32E-13
chr21:47394030-47394545	0.233763019	5.33E-15	5.58E-13
chr10:3983198-3983475	0.068164774	5.74E-15	5.85E-13
chr8:12615021-12615285	0.221888514	5.81E-15	5.85E-13
chr20:30622441-30622925	0.29588259	6.01E-15	5.95E-13
chr4:174435467-174435730	0.148164068	6.79E-15	6.59E-13
chr20:5042007-5042186	0.447900585	7.72E-15	7.31E-13
chr14:104018443-104019067	0.276325312	7.79E-15	7.31E-13
chr9:120482943-120483330	0.345200101	8.04E-15	7.41E-13
chr1:10447707-10448369	0.47159934	9.40E-15	8.53E-13
chr4:187948547-187948771	0.067750377	1.20E-14	1.07E-12
chr3:134068231-134068586	0.28754516	1.68E-14	1.47E-12
chr15:93580534-93580838	0.241825623	2.14E-14	1.85E-12
chr11:130743628-130743895	0.590529159	2.80E-14	2.38E-12
chr11:35443384-35443774	0.06967212	2.90E-14	2.42E-12
chr20:1782055-1782441	0.211379802	3.03E-14	2.50E-12
chr20:29647996-29648434	0.52891142	3.62E-14	2.94E-12
chr17:16374519-16374788	0.438910938	4.27E-14	3.41E-12
chr16:53077641-53077824	0.176964133	4.56E-14	3.60E-12
chr18:11947272-11947721	0.219875284	4.79E-14	3.72E-12
chr11:10935638-10935889	0.387072727	5.97E-14	4.58E-12
chr7:27143635-27143783	0.317016824	6.69E-14	5.05E-12
chr5:172193800-172194232	0.151374255	9.82E-14	7.25E-12
chr10:3984866-3985563	0.155982613	9.85E-14	7.25E-12
chr16:66536058-66536398	0.285301385	1.08E-13	7.86E-12
chr15:95830783-95831278	0.258614887	1.15E-13	8.21E-12
chr20:1785698-1786068	0.18023711	1.45E-13	1.03E-11
chr6:169572627-169572772	3.846524974	1.80E-13	1.26E-11
chr7:151622915-151623433	0.151135308	1.98E-13	1.36E-11
chr14:38721175-38721449	0.456600308	2.31E-13	1.57E-11
chr2:241366341-241366661	0.150315754	2.52E-13	1.69E-11
chr20:1869680-1870159	0.236280183	2.54E-13	1.69E-11
chr1:234738546-234738834	0.322946779	3.04E-13	1.99E-11
chr17:16375722-16375971	0.473648933	3.27E-13	2.12E-11
chr19:867005-867400	0.201280753	4.15E-13	2.66E-11
chr12:6454526-6454970	0.465603201	4.20E-13	2.66E-11
chr18:74277239-74277430	0.169167326	4.35E-13	2.72E-11
chr11:12561282-12561501	0.295304516	5.10E-13	3.16E-11
chr12:6455086-6455266	0.405394653	5.64E-13	3.45E-11
chr20:1757222-1757297	0.253552082	6.60E-13	3.99E-11
