enhancer_name	drug_name	NES	NPL	PL	MI	regulation	Mutation.Status	Methylation.Status	CNV.Status	regualation_class
chr10:4283808-4284356	spironolactone	1.5534237002199	0.001	2	1553.4237002199	Promotion	Non_mutation	Hypermethylation	Amp	Downregulated
chr10:4283808-4284356	bepridil	1.53498012985896	0.001	2	1534.98012985896	Promotion	Non_mutation	Hypermethylation	Amp	Downregulated
chr10:4283808-4284356	betamethasone	1.53071167680756	0.001	2	1530.71167680756	Promotion	Non_mutation	Hypermethylation	Amp	Downregulated
chr10:4283808-4284356	paclitaxel	1.49671914033012	0.001	2	1496.71914033012	Promotion	Non_mutation	Hypermethylation	Amp	Downregulated
chr10:4283808-4284356	dexamethasone	1.46070136228132	0.001	2	1460.70136228132	Promotion	Non_mutation	Hypermethylation	Amp	Downregulated
chr10:7583205-7583490	spiperone	2.0921720799215	0.001	2	2092.1720799215	Promotion	Non_mutation	Hypermethylation	Amp	Downregulated
chr10:7583205-7583490	oxymetazoline	1.88729011671703	0.001	2	1887.29011671703	Promotion	Non_mutation	Hypermethylation	Amp	Downregulated
chr10:7583205-7583490	trichostatin a	1.86325851306418	0.001	2	1863.25851306418	Promotion	Non_mutation	Hypermethylation	Amp	Downregulated
chr10:7583205-7583490	tolfenamic acid	1.78035456258192	0.001	2	1780.35456258192	Promotion	Non_mutation	Hypermethylation	Amp	Downregulated
chr10:7583205-7583490	mefloquine	1.76331007991036	0.001	2	1763.31007991036	Promotion	Non_mutation	Hypermethylation	Amp	Downregulated
chr1:10447707-10448369	tetracycline	1.59406204793386	0.002	3	797.03102396693	Promotion	Non_mutation	Hypermethylation	Del	Downregulated
chr1:10447707-10448369	oxytetracycline	1.56860425079149	0.012	3	130.717020899291	Promotion	Non_mutation	Hypermethylation	Del	Downregulated
chr1:10447707-10448369	isoxsuprine	1.5141124368328	0.026	4	58.2350937243385	Promotion	Non_mutation	Hypermethylation	Del	Downregulated
chr1:10447707-10448369	acebutolol	1.53817092612592	0.04	4	38.454273153148	Promotion	Non_mutation	Hypermethylation	Del	Downregulated
chr1:10447707-10448369	tolnaftate	1.46527875945628	0.044	4	33.3017899876427	Promotion	Non_mutation	Hypermethylation	Del	Downregulated
chr11:10935638-10935889	debrisoquine	1.3299419536278	0.036	4	36.9428320452167	Promotion	Non_mutation	Non_methylation	Del	Downregulated
chr11:10935638-10935889	hydrocotarnine	1.32784274191955	0.05	4	26.556854838391	Promotion	Non_mutation	Non_methylation	Del	Downregulated
chr11:10935638-10935889	guanabenz	1.32090729413644	0.072	4	18.3459346407839	Promotion	Non_mutation	Non_methylation	Del	Downregulated
chr11:10935638-10935889	famotidine	1.3224694676038	0.074	4	17.871209021673	Promotion	Non_mutation	Non_methylation	Del	Downregulated
chr11:10935638-10935889	lidoflazine	1.3302414981189	0.078	4	17.0543781810115	Promotion	Non_mutation	Non_methylation	Del	Downregulated
chr11:113929515-113929738	acebutolol	1.50893645932969	0.001	2	1508.93645932969	Promotion	Non_mutation	Hypermethylation	Del	Downregulated
chr11:113929515-113929738	oxolinic acid	1.67557758359901	0.036	4	46.5438217666392	Promotion	Non_mutation	Hypermethylation	Del	Downregulated
chr11:113929515-113929738	gemfibrozil	1.56238216575326	0.04	3	39.0595541438315	Promotion	Non_mutation	Hypermethylation	Del	Downregulated
chr11:113929515-113929738	tranexamic acid	1.5649507784156	0.044	4	35.5670631458091	Promotion	Non_mutation	Hypermethylation	Del	Downregulated
chr11:113929515-113929738	pargyline	1.55919691258438	0.044	4	35.4362934678268	Promotion	Non_mutation	Hypermethylation	Del	Downregulated
chr11:114127214-114127717	spiperone	2.0318958058534	0.001	2	2031.8958058534	Promotion	Non_mutation	Non_methylation	Del	Downregulated
chr11:114127214-114127717	trichostatin a	1.84976424969608	0.001	2	1849.76424969608	Promotion	Non_mutation	Non_methylation	Del	Downregulated
chr11:114127214-114127717	mefloquine	1.76447554822353	0.001	2	1764.47554822353	Promotion	Non_mutation	Non_methylation	Del	Downregulated
chr11:114127214-114127717	oxymetazoline	1.76205846853236	0.001	2	1762.05846853236	Promotion	Non_mutation	Non_methylation	Del	Downregulated
chr11:114127214-114127717	tolfenamic acid	1.70505387153372	0.001	2	1705.05387153372	Promotion	Non_mutation	Non_methylation	Del	Downregulated
chr11:118663387-118663780	trichostatin a	1.83550906189875	0.001	2	1835.50906189875	Promotion	Non_mutation	Non_methylation	Del	Downregulated
chr11:118663387-118663780	dexverapamil	1.77001391267125	0.001	2	1770.01391267125	Promotion	Non_mutation	Non_methylation	Del	Downregulated
chr11:118663387-118663780	irinotecan	1.7418542979922	0.001	2	1741.8542979922	Promotion	Non_mutation	Non_methylation	Del	Downregulated
chr11:118663387-118663780	mefloquine	1.71183683035933	0.001	2	1711.83683035933	Promotion	Non_mutation	Non_methylation	Del	Downregulated
chr11:118663387-118663780	oxymetazoline	1.70985291399522	0.001	2	1709.85291399522	Promotion	Non_mutation	Non_methylation	Del	Downregulated
chr11:122936469-122936659	hesperidin	1.92813394613032	0.001	2	1928.13394613032	Promotion	Non_mutation	Non_methylation	Del	Downregulated
chr11:122936469-122936659	thalidomide	1.71978810033567	0.001	2	1719.78810033567	Promotion	Non_mutation	Non_methylation	Del	Downregulated
chr11:122936469-122936659	dexamethasone	1.5808664934434	0.001	2	1580.8664934434	Promotion	Non_mutation	Non_methylation	Del	Downregulated
chr11:122936469-122936659	paclitaxel	1.53884642534037	0.001	2	1538.84642534037	Promotion	Non_mutation	Non_methylation	Del	Downregulated
chr11:122936469-122936659	gemfibrozil	1.5283948069642	0.001	2	1528.3948069642	Promotion	Non_mutation	Non_methylation	Del	Downregulated
chr11:123951200-123951810	zoxazolamine	1.68568279510327	0.092	4	18.3226390772095	Promotion	Non_mutation	Non_methylation	Del	Downregulated
chr11:123951200-123951810	paracetamol	1.67578565097797	0.094	4	17.8275069252976	Promotion	Non_mutation	Non_methylation	Del	Downregulated
chr11:123951200-123951810	brompheniramine	1.62670628178518	0.12	4	13.5558856815432	Promotion	Non_mutation	Non_methylation	Del	Downregulated
